"ID","Latitude","Longitude","Nm_max"
"T6b-1",-59.999999998491,-61.5,40
"T6b-2",-60.3714534207058,-60.757157649582,40
"T6b-3",-60.7454091089228,-60.0092038367036,40
"T6b-4",-61.121717865159,-59.256629412992,40
"T6b-5",-61.499999998609,-58.5,40
"T5-1",-59.999999998491,-63.5,40
"T5-2",-60.3944587928915,-62.7111083923649,40
"T5-3",-60.7920022650254,-61.9160310193518,40
"T5-4",-61.1923248586604,-61.1153847959246,40
"T5-5",-61.5951039614424,-60.309815640251,40
"T5-6",-61.9999999986442,-59.5,40
"T3-1",-59.999999998491,-65.5,40
"T3-2",-60.442935643783,-64.6141607086724,40
"T3-3",-60.8898507409373,-63.7203413558814,40
"T3-4",-61.3403117192861,-62.8194181141192,40
"T3-5",-61.7938575666727,-61.9123136724531,40
"T3-6",-62.2499999986612,-61,40
"T1-1",-59.999999998491,-67.5,40
"T1-2",-60.4489418969345,-66.6021216685696,40
"T1-3",-60.902365309611,-65.6952812899584,40
"T1-4",-61.3596234112429,-64.7807944603276,40
"T1-5",-61.8203169383594,-63.8594305526581,40
"T1-6",-62.2839501841907,-62.9321581975681,40
"T1-7",-62.7499999986939,-62,40
"T26-1",-59.999999998491,-69.5,40
"T26-2",-60.4544687107486,-68.5910839989796,40
"T26-3",-60.9139454363787,-67.6721623207784,40
"T26-4",-61.3779949422853,-66.7440756429355,40
"T26-5",-61.8461534054174,-65.8077121849513,40
"T26-6",-62.3182156728144,-64.8636308588954,40
"T26-7",-62.793107817359,-63.9138165128382,40
"T26-8",-63.2706882731431,-62.9586894108331,40
"T26-9",-63.7499999987547,-62,40
"T28-1",-60.7499999985525,-70,40
"T28-2",-61.1751103490905,-69.1498456338706,40
"T28-3",-61.6046013992002,-68.2908194466729,40
"T28-4",-62.037913723549,-67.4242216731358,40
"T28-5",-62.4749931300803,-66.5500810400285,40
"T28-6",-62.9152252835632,-65.6696067329116,40
"T28-7",-63.3581404887838,-64.7837561057876,40
"T28-8",-63.8032407742823,-63.8935350416453,40
"T28-9",-64.2499999987832,-63,40
"T30-1",-61.7499999986268,-70,40
"T30-2",-62.198905210251,-69.1021953303482,40
"T30-3",-62.6523433454283,-68.1953253449592,40
"T30-4",-63.1096360842566,-67.2807700207674,40
"T30-5",-63.5703625822892,-66.3593407477022,40
"T30-6",-64.034000913368,-65.4320580275762,40
"T30-7",-64.4999999987969,-64.5,40
"T6-1",-60.6578949985452,-61.184211,40
"T6-2",-61.0197487702643,-60.4605664180395,40
"T6-3",-61.3838587775925,-59.7323409353297,40
"T6-4",-61.7499999986268,-59,40
"T4-1",-61.1842109985858,-62.131579,40
"T4-2",-61.5373872692144,-61.4252763989991,40
"T4-3",-61.8927210129207,-60.7145915963052,40
"T4-4",-62.2499999986612,-60,40
"T2-1",-61.7105259986241,-63.078947,40
"T2-2",-62.1040031302942,-62.2920129559637,40
"T2-3",-62.4999999986777,-61.5,40
"T25b-1",-62.2242649986594,-64.003676,40
"T25b-2",-62.5778424639763,-63.3287202607992,40
"T25b-3",-62.9333329987054,-62.65,40
"T27-1",-62.7631579986947,-64.973684,40
"T27-2",-63.131503574684,-64.2370561445298,40
"T27-3",-63.5022089788906,-63.4955935489159,40
"T27-4",-63.8749999987619,-62.75,40
"T29-1",-63.2894739987273,-65.921053,40
"T29-2",-63.7678794324468,-64.9643045300347,40
"T29-3",-64.2499999987832,-64,40
"T37-1",-62.7960149986968,-70,40
"T37-2",-63.2096477958038,-69.1920482804876,40
"T37-3",-63.6266165048256,-68.3775881646902,40
"T37-4",-64.0465561781472,-67.5573167108542,40
"T37-5",-64.4690821961777,-66.7319660820026,40
"T37-6",-64.8937889988182,-65.902302,40
"T39-1",-63.8800109987622,-70,40
"T39-2",-64.3462559934844,-69.112491288175,40
"T39-3",-64.816445369012,-68.2174534079021,40
"T39-4",-65.2900327007516,-67.315934517574,40
"T39-5",-65.7664329988632,-66.409025,40
"T41-1",-65.0093849988242,-70,40
"T41-2",-65.4574883469804,-69.1708180991844,40
"T41-3",-65.9087634046359,-68.3357135426464,40
"T41-4",-66.3627489988926,-67.495518,40
"T43-1",-66.1932679988843,-70,40
"T43-2",-66.5433401146821,-69.3720360862563,40
"T43-3",-66.895077998918,-68.740961,40
"T45-1",-67.4430309989435,-70,40
"T45-2",-67.7289381254777,-69.5042549811971,40
"T45-3",-68.0158999989697,-69.006655,40
"T45.1-1",-68.1753299989769,-68.730249,40
"T45.1-2",-68.4954649989912,-68.175124,40
"T47-1",-68.7729639990037,-70,40
"T47-2",-69.348275999029,-69.039209,40
"T36-1",-63.8379459987598,-66.908304,40
"T36-2",-64.2477680427489,-66.0945030020352,40
"T36-3",-64.6605108939935,-65.2749255132797,40
"T36-4",-65.0757729988277,-64.450255,40
"T38-1",-64.4369929987935,-67.986553,40
"T38-2",-64.9378104587791,-66.9627050330113,40
"T38-3",-65.4428009988468,-65.930196,40
"T40-1",-65.0029509988239,-69,40
"T40-2",-65.3525882654211,-68.3238195072458,40
"T40-3",-65.7042567816597,-67.6436775660418,40
"T40-4",-66.0576909988776,-66.960031,40
"A-1",-64.8020869988133,-60.49137,40
"A-2",-64.8020874728374,-58.9976367512327,40
"A-3",-64.8020866029362,-57.4988084459334,40
"A-4",-64.8020868748452,-55.9969328763941,40
"A-5",-64.8020874653157,-54.4940619811032,40
"A-6",-64.8020876469366,-52.9922490427943,40
"A-7",-64.8020867838721,-51.4935458733412,40
"A-8",-64.8020839988133,-50,40
"B-1",-64.4062589987919,-56.727742,40
"B-2",-64.4062628313628,-55.3836414242235,40
"B-3",-64.4062650934039,-54.0374088540261,40
"B-4",-64.4062576787495,-52.6902867664473,40
"B-5",-64.406262380433,-51.3440696688293,40
"B-6",-64.4062509987918,-50,40
"C-1",-64.0104249987697,-57.019428,40
"C-2",-64.0104295617772,-55.6172684518796,40
"C-3",-64.0104270311071,-54.2125681592957,40
"C-4",-64.0104240250623,-52.8070045166894,40
"C-5",-64.0104210866591,-51.4022559681464,40
"C-6",-64.0104189987697,-50,40
"D-1",-63.6145929987468,-55.577594,40
"D-2",-63.6145967579804,-54.1839915221398,40
"D-3",-63.6145935886391,-52.7887508760563,40
"D-4",-63.6145902255085,-51.3935333044008,40
"D-5",-63.6145859987467,-50,40
"T6b2-1",-60.1384969985027,-60.249227,40
"T6b2-2",-60.4982918799304,-59.5092340434806,40
"T6b2-3",-60.8604298845445,-58.7644381646263,40
"T6b2-4",-61.2246059985888,-58.015352,40
"T6b3-1",-60.0000059984909,-59.51449,40
"T6b3-2",-60.3663161556696,-58.7596085930611,40
"T6b3-3",-60.7348589985513,-58,40
"T6b4-1",-60.000002998491,-58.493933,40
"T6b4-2",-60.237476998511,-58,40
"PB1-1",-59.999999998491,-52.75,40
"PB1-2",-60.6520129747031,-52.75,40
"PB1-3",-61.302993170294,-52.75,40
"PB1-4",-61.9529670244068,-52.75,40
"PB1-5",-62.601960680973,-52.75,40
"PB1-6",-63.249999998725,-52.75,40
"PB2-1",-59.999999998491,-52,40
"PB2-2",-60.6520129747031,-52,40
"PB2-3",-61.302993170294,-52,40
"PB2-4",-61.9529670244068,-52,40
"PB2-5",-62.601960680973,-52,40
"PB2-6",-63.249999998725,-52,40
"PB3-1",-59.999999998491,-51.25,40
"PB3-2",-60.6520129747031,-51.25,40
"PB3-3",-61.302993170294,-51.25,40
"PB3-4",-61.9529670244068,-51.25,40
"PB3-5",-62.601960680973,-51.25,40
"PB3-6",-63.249999998725,-51.25,40
"PB4-1",-59.999999998491,-50.5,40
"PB4-2",-60.6520129747031,-50.5,40
"PB4-3",-61.302993170294,-50.5,40
"PB4-4",-61.9529670244068,-50.5,40
"PB4-5",-62.601960680973,-50.5,40
"PB4-6",-63.249999998725,-50.5,40
