layer_code,layer_name,label,name,active,start_date,end_date,description
SSMU,CCAMLR Fishery Small Scale Management Units,SOPA,SOPA,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,SSPA,SSPA,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,SSI,SSI,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,SOW,SOW,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,SONE,SONE,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,SOSE,SOSE,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,SGPA,SGPA,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,SGW,SGW,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,SGE,SGE,yes,1/12/2002,,
SSMU,CCAMLR Fishery Small Scale Management Units,APE,APE,yes,1/12/2002,,
MPA,CCAMLR Marine Protected Areas,GPZi,RSR GPZi,yes,1/12/2016,,CM 91-05 (2016)
MPA,CCAMLR Marine Protected Areas,GPZii,RSR GPZii,yes,1/12/2016,,CM 91-05 (2016)
MPA,CCAMLR Marine Protected Areas,GPZiii,RSR GPZiii,yes,1/12/2016,,CM 91-05 (2016)
MPA,CCAMLR Marine Protected Areas,KRZ,RSR KRZ,yes,1/12/2016,,CM 91-05 (2016)
MPA,CCAMLR Marine Protected Areas,SRZ,RSR SRZ,yes,1/12/2016,,CM 91-05 (2016)
MPA,CCAMLR Marine Protected Areas,SOSS,SO SS,yes,1/12/2009,,CCAMLR-XXVIII paragraphs 7.1; CM 91-03
OMA,CCAMLR Other Management Areas,483A,48.3 A,yes,1/12/2017,,CM 41-02 (2015)
OMA,CCAMLR Other Management Areas,N70,RSR North 70,yes,1/12/2017,,CM 91-05 (2016) and CM 41-09 (2017)
OMA,CCAMLR Other Management Areas,S70,RSR South 70,yes,1/12/2017,,CM 91-05 (2016) and CM 41-09 (2017)
OMA,CCAMLR Other Management Areas,484_SSI,48.4_SSI,yes,1/12/2008,,CM 41-03 (2013)
OMA,CCAMLR Other Management Areas,483B,48.3 B,yes,1/12/2017,,CM 41-02 (2015)
OMA,CCAMLR Other Management Areas,483C,48.3 C,yes,1/12/2017,,CM 41-02 (2015)
OMA,CCAMLR Other Management Areas,482_E,48.2_E,no,1/12/2015,1/12/2017,
OMA,CCAMLR Other Management Areas,484_S,48.4_S,no,1/12/2015,1/12/2017,
SASS,CCAMLR Special Areas for Scientific Study,Larsen C,Larsen C,yes,12/07/2017,,
SASS,CCAMLR Special Areas for Scientific Study,SSAS_2,Pine Island Glacier (2019),no,17/05/2019,17/05/2021,
SASS,CCAMLR Special Areas for Scientific Study,SSAS_2,Pine Island Glacier (2021),no,12/06/2021,12/06/2023,
SASS,CCAMLR Special Areas for Scientific Study,SSAS_2,Pine Island Glacier (2023),no,11/08/2023,11/08/2025,
ASMA,Antarctic Specially Managed Areas with marine components,1,"Admiralty Bay, King George Island",yes,1/12/2006,,https://www.ats.aq/devph/en/apa-database/3
ASMA,Antarctic Specially Managed Areas with marine components,4,Deception Island,yes,1/12/2005,,https://www.ats.aq/devph/en/apa-database/77
ASMA,Antarctic Specially Managed Areas with marine components,7,Southwest Anvers Island and Palmer Basin,yes,1/12/2008,,https://www.ats.aq/devph/en/apa-database/81
ASPA,Antarctic Specially Protected Areas with marine component,121,"Cape Royds, Ross Island",yes,1/12/2002,,"RE VIII-4 (*)
RE X-6 
RE XII-5 
RE XIII-9 
R  7 (1995)  
D  4 (1998)  
R  1 (1998)  
M  2 (2000)  
M  1 (2002)  
M  5 (2009)  
M  2 (2014)  
M  9 (2021)  
"
ASPA,Antarctic Specially Protected Areas with marine component,145,"Port Foster, Deception Island",yes,1/12/2005,,"RE XIII-8 
RE XIV-5 (*)
R  3 (1996)  
D  4 (1998)  
R  1 (1998)  
M  2 (2000)  
M  3 (2005)  
M  10 (2023)  
"
ASPA,Antarctic Specially Protected Areas with marine component,146,"South Bay, Doumer Island",yes,1/12/2005,,"RE XIV-5 (*)
R  3 (1996)  
D  4 (1998)  
R  1 (1998)  
M  2 (2000)  
M  4 (2005)  
"
ASPA,Antarctic Specially Protected Areas with marine component,149,"Cape Shirreff, Livingston Island",yes,1/12/2005,,"RE IV-11 
RE XV-7 (*)
R  3 (1996)  
D  4 (1998)  
R  1 (1998)  
M  2 (2000)  
M  2 (2005)  
M  7 (2011)  
M  7 (2016)  
M  16 (2022)  
M  12 (2023)  
"
ASPA,Antarctic Specially Protected Areas with marine component,151,Lions Rump,yes,1/12/2000,,"RE XVI-2 (*)
D  4 (1998)  
R  1 (1998)  
M  1 (2000)  
M  11 (2013)  
M  5 (2019)  
M  8 (2024)  
"
ASPA,Antarctic Specially Protected Areas with marine component,161,Terra Nova Bay,yes,1/12/2003,,"M  2 (2003) (*) M 14 (2008)  
M  15 (2013)  
M  7 (2019)  
M  11 (2024)"
ASPA,Antarctic Specially Protected Areas with marine component,165,"Edmonson Point, Wood Bay, Victoria Land",yes,1/12/2006,,M  1 (2006) (*) M 8 (2011) M 7 (2017) M 14 (2023)
ASPA,Antarctic Specially Protected Areas with marine component,176,Rosenthal Islands,yes,1/12/2021,,M  19 (2021) (*)
ASPA,Antarctic Specially Protected Areas with marine component,178,"Inexpressible Island and Seaview Bay, Ross Sea",yes,1/12/2021,,M  21 (2021) (*)
ASPA,Antarctic Specially Protected Areas with marine component,182,Western Bransfield Strait - Site A,yes,1/12/2024,,M 17 (2024)
