ID,Active_raw,Start_date,End_date,Reference
881D,Yes,12/01/2003,,CM 41-01 (2003)
881E,Yes,12/01/2003,,CM 41-01 (2003)
881F,Yes,12/01/2003,,CM 41-01 (2003)
881G,Yes,12/01/2003,,CM 41-01 (2003)
881H,Yes,12/01/2003,,CM 41-01 (2003)
881I,Yes,12/01/2003,,CM 41-01 (2003)
881J,Yes,12/01/2008,,CM 41-01 (2008)
881K,Yes,12/01/2003,,CM 41-01 (2003)
881L,Yes,12/01/2003,,CM 41-01 (2003)
881M,Yes,12/01/2008,,CM 41-01 (2008)
882A,Yes,12/01/2002,,CM 41-01 (2002)
882B,Yes,12/01/2002,,CM 41-01 (2002)
882C,Yes,12/01/2011,,CM 41-01 (2011)
882D,Yes,12/01/2011,,CM 41-01 (2011)
882E,Yes,12/01/2011,,CM 41-01 (2011)
882F,Yes,12/01/2011,,CM 41-01 (2011)
882G,Yes,12/01/2011,,CM 41-01 (2011)
882H,Yes,12/01/2011,,CM 41-01 (2011)
882I,Yes,12/01/2011,,CM 41-01 (2011)
883A,Yes,12/01/2003,,CM 41-01 (2003)
883B,Yes,12/01/2003,,CM 41-01 (2003)
883C,Yes,12/01/2003,,CM 41-01 (2003)
883D,Yes,12/01/2003,,CM 41-01 (2003)
5844bC,Yes,12/01/2000,,CM 200/XIX
5844bD,Yes,12/01/2000,,CM 200/XIX
587B,Yes,1/12/2016,,CM 200/XIX
48,Yes,1/12/1985,,SC-CAMLR-I Appendix 3
58,Yes,1/12/1985,,SC-CAMLR-I Appendix 3
88,Yes,1/12/1985,,SC-CAMLR-I Appendix 3
C.A.,Yes,7/04/1982,,CAMLR Convention Article I
CI,Yes,7/04/1982,,https://limitesmaritimes.gouv.fr/
HIMI,Yes,7/04/1982,,http://www.marineregions.org/eezdetails.php?mrgid=8388    
KI,Yes,7/04/1982,,https://limitesmaritimes.gouv.fr/
PEI,Yes,7/04/1982,,http://www.marineregions.org/eezdetails.php?mrgid=8384    
482E,No,1/12/2015,1/12/2017,WG-FSA-16/50
484S,No,1/12/2015,1/12/2017,CM 41-03 (2012)
